WaveYear,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Team ID,Gender,Age,Degree Status,Formal Education,Experience_1,Experience_2,Experience_3,Differing abilities_1,Differing abilities_2,Differing abilities_3,CD-1,CD-2,CD-3,CD-4,OC-1,OC-2,OC-3,OC-4,OC-5,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5
,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2011""}","{""ImportId"":""QID2024""}","{""ImportId"":""QID2012""}","{""ImportId"":""QID2013""}","{""ImportId"":""QID2015""}","{""ImportId"":""QID2014""}","{""ImportId"":""QID2017_1""}","{""ImportId"":""QID2017_4""}","{""ImportId"":""QID2017_5""}","{""ImportId"":""QID2019_0""}","{""ImportId"":""QID2019_11""}","{""ImportId"":""QID2019_12""}",,,,,"{""ImportId"":""QID2025""}","{""ImportId"":""QID2026""}","{""ImportId"":""QID2027""}","{""ImportId"":""QID2028""}","{""ImportId"":""QID2029""}","{""ImportId"":""QID2033_11""}","{""ImportId"":""QID2033_12""}","{""ImportId"":""QID2033_13""}","{""ImportId"":""QID2033_15""}","{""ImportId"":""QID2033_16""}"
10,1/20/2025 6:30,1/20/2025 6:30,0,129.21.255.82,100,7,1,1/20/2025 6:30,R_71YKcYKZYMz9UbF,,,,,43.0801,-77.6342,anonymous,EN,3,,,,,,,,,,,,,,,,,,,,,,,,,
10,1/20/2025 6:30,1/20/2025 6:33,0,166.194.188.109,100,205,1,1/20/2025 6:33,R_3EnjfVdKH5gSIiq,,,,,41.8719,-87.6589,anonymous,EN,1,7,2,1,3,4,5,5,4,1,1,1,5,7,2,2,5,5,5,5,5,1,1,2,5,5
10,1/20/2025 6:30,1/20/2025 6:33,0,174.234.225.119,100,205,1,1/20/2025 6:33,R_3WFtvrWVuthYc7v,,,,,42.9685,-78.7492,anonymous,EN,1,7,2,1,3,4,7,5,2,3,2,2,3,5,4,4,4,4,4,4,4,2,1,1,3,2
10,1/20/2025 6:30,1/20/2025 6:34,0,129.21.255.80,100,279,1,1/20/2025 6:34,R_5KUBYJxjgP9hnHk,,,,,43.0801,-77.6342,anonymous,EN,1,9,2,1,3,1,7,4,1,1,1,1,4,4,3,2,5,4,5,4,4,1,1,1,1,1
10,1/20/2025 6:30,1/20/2025 6:34,0,174.208.34.23,100,276,1,1/20/2025 6:34,R_7i3aBfRFND7wuXh,,,,,43.0446,-78.7829,anonymous,EN,1,7,2,1,3,2,5,5,1,2,1,2,4,5,4,3,4,4,4,4,3,3,3,3,3,3
10,1/20/2025 6:33,1/20/2025 6:38,0,166.194.188.8,100,269,1,1/20/2025 6:38,R_52OdS6a4iKtV6jn,,,,,41.8719,-87.6589,anonymous,EN,1,7,4,1,3,3,2,3,1,3,1,5,5,7,2,1,5,5,5,3,5,1,1,1,1,2
10,1/20/2025 6:43,1/20/2025 6:46,0,166.194.188.52,100,164,1,1/20/2025 6:46,R_66hCPhVPd5sH16z,,,,,41.8719,-87.6589,anonymous,EN,1,12,2,1,3,4,7,6,2,1,1,1,4,4,4,4,5,5,5,5,5,1,1,2,2,2
10,1/20/2025 6:40,1/20/2025 6:46,0,174.234.250.222,100,366,1,1/20/2025 6:46,R_1ay7JmlnoSpI3MA,,,,,42.9685,-78.7492,anonymous,EN,1,12,1,1,3,4,7,4,1,1,1,1,4,4,4,3,4,1,4,4,4,1,1,1,5,2
10,1/20/2025 6:40,1/20/2025 6:46,0,174.234.240.106,100,407,1,1/20/2025 6:46,R_7CCv1LHSEIucSWT,,,,,43.2318,-77.6607,anonymous,EN,1,12,2,1,3,2,2,5,1,1,1,1,4,4,4,4,3,4,4,4,4,1,1,1,3,3
10,1/20/2025 6:46,1/20/2025 6:49,0,129.21.255.108,100,148,1,1/20/2025 6:49,R_79uDbzKVNzwXuOf,,,,,43.0801,-77.6342,anonymous,EN,1,12,2,1,3,4,6,5,1,2,,,5,6,5,2,4,5,4,5,5,1,1,3,5,5
10,1/20/2025 6:43,1/20/2025 6:49,0,129.21.255.74,100,376,1,1/20/2025 6:49,R_5nUcpuWEl1naPtp,,,,,43.0801,-77.6342,anonymous,EN,1,6,2,1,3,2,1,2,1,4,1,1,4,5,3,1,5,5,4,4,4,1,1,2,1,1
10,1/20/2025 6:53,1/20/2025 7:00,0,129.21.255.88,100,371,1,1/20/2025 7:00,R_6MyvZL7HRaVSvO2,,,,,43.0801,-77.6342,anonymous,EN,1,8,2,1,1,1,2,5,2,2,1,2,5,4,4,4,4,5,5,4,4,1,2,3,1,2
