WaveYear,ResponseId,Major
,"{""ImportId"":""_recordId""}","{""ImportId"":""QID2016_TEXT""}"
10,R_71YKcYKZYMz9UbF,
10,R_3EnjfVdKH5gSIiq,
10,R_3WFtvrWVuthYc7v,Computer Science
10,R_5KUBYJxjgP9hnHk,Computer Science and Engineering
10,R_7i3aBfRFND7wuXh,Computer Science 
10,R_52OdS6a4iKtV6jn,Computer Science
10,R_66hCPhVPd5sH16z,Cyber Operations
10,R_1ay7JmlnoSpI3MA,Cyber Operations 
10,R_7CCv1LHSEIucSWT,
10,R_79uDbzKVNzwXuOf,Cyber Operations
10,R_5nUcpuWEl1naPtp,Cybersecurity
10,R_6MyvZL7HRaVSvO2,Computer Engineering
10,R_1C1FHUPWFXwl4Ca,computer science
10,R_3CDfKDKDh1Yu9Uw,Computer Science and Cybersecurity
10,R_1MyUvemc0rYWdyP,CIS
10,R_7IZ46mu1JAuyGsh,Computer Science
10,R_67jrl62hHhu907D,Networks and Information Security Engineering
10,R_1qdAZ7Gu7S5nkhl,Cybersecurity
10,R_5H6UUh65hSrfnWo,Cybersecurity 
10,R_5rvCXXRDQwdac37,Cyber
10,R_1cH4MlOzK9j3Tfr,
10,R_1B0eUEVDs5Ak0tb,Computer Science
10,R_12s8phTQxta8FwG,
10,R_7GEJIPSKs5MrueJ,cys
10,R_3LuMMwZY8i808S1,Computer science
10,R_1PXD5upCcdsMG9r,Comp sci: cyber
10,R_5uDKMjwxJSTAsef,CS
10,R_1qeOpcjYKwlBHXh,Computer Science
10,R_5ojag1v1ZYhEaGJ,
10,R_7z6GbY06TlifWf2,Networks and Information Security Engineering
10,R_3lgzckL209urs1W,
10,R_5DNNHuZFPaJQ1F1,Cybersecurity
10,R_5GPN9y4ZtuQpsDT,
10,R_397aRjkTk0qFDhC,
10,R_1kELmE2Qw7tomVX,
10,R_7gHCoKUSglInBp0,Computer Science
10,R_7JYWqaHe3Peh1fP,
10,R_5veRUnbhgUum1AB,
10,R_6awSxjNYy7y8kdc,THIS IS JUSTIN PELLETIER - THROW OUT THIS RESPONSE
10,R_1kwYVZQLcdIoEp3,
