WaveYear,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Team ID,Gender,Age,Degree Status,Formal Education,Experience_1,Experience_2,Experience_3,Differing abilities_1,Differing abilities_2,Differing abilities_3,CD-1,CD-2,CD-3,CD-4,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q27_NPS_GROUP,Q27,Q28_NPS_GROUP,Q28,Q29_NPS_GROUP,Q29,OC-1,OC-2,OC-3,OC-4,OC-5
,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2011""}","{""ImportId"":""QID2024""}","{""ImportId"":""QID2012""}","{""ImportId"":""QID2013""}","{""ImportId"":""QID2015""}","{""ImportId"":""QID2014""}","{""ImportId"":""QID2017_1""}","{""ImportId"":""QID2017_4""}","{""ImportId"":""QID2017_5""}","{""ImportId"":""QID2019_0""}","{""ImportId"":""QID2019_11""}","{""ImportId"":""QID2019_12""}",,,,,"{""ImportId"":""QID2033_11""}","{""ImportId"":""QID2033_12""}","{""ImportId"":""QID2033_13""}","{""ImportId"":""QID2033_15""}","{""ImportId"":""QID2033_16""}","{""ImportId"":""QID2036_NPS_GROUP""}","{""ImportId"":""QID2036""}","{""ImportId"":""QID2037_NPS_GROUP""}","{""ImportId"":""QID2037""}","{""ImportId"":""QID2038_NPS_GROUP""}","{""ImportId"":""QID2038""}","{""ImportId"":""QID2025""}","{""ImportId"":""QID2026""}","{""ImportId"":""QID2027""}","{""ImportId"":""QID2028""}","{""ImportId"":""QID2029""}"
11,1/10/2026 23:12,1/10/2026 23:15,1,,100,182,1,1/10/2026 23:15,R_1ImxrCU4X7pvaU8,,,,,43.0908,-77.4348,preview,EN,1,8,2,5,4,4,2,3,5,2,,,3,6,2,2,4,2,2,4,2,2,7,1,2,2,7,4,4,5,5,5
11,1/10/2026 23:34,1/10/2026 23:35,0,66.66.118.19,100,49,1,1/10/2026 23:35,R_6oAWOB2B2VO7HII,,,,,43.0908,-77.4348,anonymous,EN,1,6,2,5,2,,4,4,4,3,,,,,,,3,3,3,3,3,,,,,,,4,4,4,4,4
11,1/11/2026 9:51,1/11/2026 9:51,0,174.208.34.34,100,9,1,1/11/2026 9:51,R_7qDj7uVfm3tLuDI,,,,,43.1394,-77.6463,anonymous,EN,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1/11/2026 9:51,1/11/2026 9:51,0,129.21.255.84,100,14,1,1/11/2026 9:51,R_5qqve6g6e3iRiJD,,,,,43.0801,-77.6342,anonymous,EN,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1/11/2026 9:51,1/11/2026 9:52,0,129.21.255.85,100,19,1,1/11/2026 9:52,R_7S9A4df6VgZVVKh,,,,,43.0801,-77.6342,anonymous,EN,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1/11/2026 9:51,1/11/2026 9:52,0,129.21.255.102,100,8,1,1/11/2026 9:52,R_7CONnAqtamqpSKA,,,,,43.0801,-77.6342,anonymous,EN,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1/11/2026 9:53,1/11/2026 9:54,0,146.75.237.92,100,27,1,1/11/2026 9:54,R_1ieVlbDybitsOj2,,,,,43.1567,-77.6107,anonymous,EN,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1/11/2026 9:54,1/11/2026 9:54,0,129.21.255.81,100,4,1,1/11/2026 9:54,R_1lEzUFCGUi3pAYN,,,,,43.0801,-77.6342,anonymous,EN,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1/11/2026 9:52,1/11/2026 9:55,0,129.21.255.84,100,194,1,1/11/2026 9:55,R_5gitzUxHgURMyeR,,,,,43.0801,-77.6342,anonymous,EN,1,8,2,1,3,4,3,7,3,1,1,1,4,4,4,4,1,1,1,1,1,1,0,1,0,1,0,4,5,5,5,5
11,1/11/2026 9:52,1/11/2026 9:55,0,129.21.255.80,100,202,1,1/11/2026 9:55,R_3HDRmfLnzWYc5FL,,,,,43.0801,-77.6342,anonymous,EN,1,8,2,1,1,3,2,6,2,1,1,1,3,6,5,2,2,3,2,2,3,2,8,2,7,1,3,4,5,5,5,5
11,1/11/2026 9:51,1/11/2026 9:55,0,146.75.244.0,100,234,1,1/11/2026 9:55,R_7iG4tj4OmUlvtKx,,,,,40.7399,-74.1691,anonymous,EN,1,11,2,2,3,4,1,3,1,4,1,1,5,7,5,4,1,3,2,3,2,,,1,4,1,2,5,4,4,3,4
11,1/11/2026 9:51,1/11/2026 9:56,0,174.234.249.135,100,245,1,1/11/2026 9:56,R_6XbV9xJk79Q0OCW,,,,,43.1516,-77.6236,anonymous,EN,1,11,2,1,3,3,7,7,2,2,1,1,4,4,3,3,2,2,2,2,2,1,3,2,7,1,0,5,5,5,5,5
11,1/11/2026 9:51,1/11/2026 9:56,0,129.21.255.84,100,261,1,1/11/2026 9:56,R_7xypQjLjMNMSOUM,,,,,43.0801,-77.6342,anonymous,EN,1,12,2,1,3,1,5,6,1,2,1,3,2,5,3,4,3,2,1,4,5,3,10,2,8,3,9,3,5,5,5,5
11,1/11/2026 9:51,1/11/2026 9:56,0,154.16.157.48,100,288,1,1/11/2026 9:56,R_7I4VyZC3fRZ2fAl,,,,,39.0019,-77.4556,anonymous,EN,1,9,2,1,4,4,2,4,2,2,1,5,5,3,6,2,1,3,4,3,1,3,10,1,3,1,1,5,4,4,5,5
11,1/11/2026 9:56,1/11/2026 9:56,0,169.150.254.174,100,4,1,1/11/2026 9:56,R_1t6kQGIPWcVPchv,,,,,32.7797,-96.8022,anonymous,EN,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1/11/2026 9:52,1/11/2026 9:56,0,174.208.44.41,100,245,1,1/11/2026 9:56,R_7P0CEF2gUkMZ4YN,,,,,43.1516,-77.6236,anonymous,EN,1,9,2,1,1,4,5,5,2,2,1,1,4,4,3,1,2,4,4,1,1,1,6,1,2,1,3,5,4,4,4,2
11,1/11/2026 9:53,1/11/2026 9:56,0,129.21.255.88,100,172,1,1/11/2026 9:56,R_6WuUwiKYaoq0iF3,,,,,43.0801,-77.6342,anonymous,EN,1,7,2,1,3,1,6,6,7,1,1,1,2,5,4,1,5,4,4,4,4,3,9,3,9,2,7,4,5,5,5,4
11,1/11/2026 9:52,1/11/2026 9:56,0,129.21.255.77,100,279,1,1/11/2026 9:56,R_6pmBafKLrUOpEKu,,,,,43.0801,-77.6342,anonymous,EN,1,11,2,1,4,4,7,5,1,3,1,1,4,5,2,2,1,2,3,3,1,1,3,3,10,1,2,5,5,5,5,5
11,1/11/2026 9:51,1/11/2026 9:56,0,129.21.255.77,100,308,1,1/11/2026 9:56,R_1YCyOBrshysEGCR,,,,,43.0801,-77.6342,anonymous,EN,1,6,1,1,1,2,3,2,1,1,1,1,3,4,4,2,2,2,2,3,2,1,5,1,4,1,2,5,5,5,4,5
11,1/11/2026 9:52,1/11/2026 9:57,0,129.21.255.82,100,279,1,1/11/2026 9:57,R_6OplmDBhsLS3Mxd,,,,,43.0801,-77.6342,anonymous,EN,1,12,2,1,3,1,1,4,1,1,1,1,3,5,4,4,1,3,1,4,3,1,5,1,2,1,2,3,5,5,5,5
11,1/11/2026 9:52,1/11/2026 9:57,0,172.226.203.50,100,275,1,1/11/2026 9:57,R_73dScUiVetVQ4yM,,,,,43.1567,-77.6107,anonymous,EN,1,6,2,1,3,2,7,5,1,1,1,1,2,4,4,4,5,5,5,3,3,,,,,,,5,4,4,4,4
11,1/11/2026 9:52,1/11/2026 9:57,0,129.21.255.89,100,316,1,1/11/2026 9:57,R_3ExNedAVpCquTrG,,,,,43.0801,-77.6342,anonymous,EN,1,8,2,1,3,4,2,4,1,1,1,1,4,4,3,2,1,1,1,1,1,1,4,1,3,1,0,4,4,4,4,4
11,1/11/2026 9:51,1/11/2026 9:57,0,174.208.34.25,100,356,1,1/11/2026 9:57,R_7HzxMEhHdpTeS1T,,,,,43.1394,-77.6463,anonymous,EN,1,11,2,1,3,3,5,3,1,5,1,4,7,6,4,2,5,5,5,2,1,2,7,3,9,1,1,4,2,4,4,4
