WaveYear,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q23,Q24,Q25,Q26,Q27,Q28,Q29_1,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q31_NPS_GROUP,Q31,Q33_1,Q33_2,Q33_3,Q33_4,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q17,Q9 - Parent Topics
,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2011""}","{""ImportId"":""QID2012""}","{""ImportId"":""QID2013""}","{""ImportId"":""QID2014""}","{""ImportId"":""QID2015""}","{""ImportId"":""QID2016_TEXT""}","{""ImportId"":""QID2017_1""}","{""ImportId"":""QID2017_4""}","{""ImportId"":""QID2017_5""}","{""ImportId"":""QID2017_6""}","{""ImportId"":""QID2017_7""}","{""ImportId"":""QID2017_8""}","{""ImportId"":""QID2019_NPS_GROUP""}","{""ImportId"":""QID2019""}","{""ImportId"":""QID2021_1""}","{""ImportId"":""QID2021_2""}","{""ImportId"":""QID2021_3""}","{""ImportId"":""QID2021_4""}",,,,,,,"{""ImportId"":""QID2005""}","{""ImportId"":""QID8_TEXT_98d09e12885144e18ddbbbc2ParTopics""}"
5,10/11/2020 15:12,10/11/2020 15:14,0,24.243.153.206,100,122,1,10/11/2020 15:14,R_1IK05urHfBxFTN4,,,,,30.2881011962890625,-97.76399994,anonymous,EN,1,2,1,2,1,Computer Science,7,4,2,7,2,5,1,3,,,,,0.23,0.09,0.48,0.04,0.05,1,2,
5,10/11/2020 15:11,10/11/2020 15:16,0,184.88.41.170,100,329,1,10/11/2020 15:16,R_6tHH8Dpu8PLCFqx,,,,,28.5503997802734375,-81.1832962,qr,EN,1,2,1,1,1,CS,7,3,1,2,7,7,1,3,,,,,0.49,1,0.22,0.2,0.07,0.75,2,
5,10/11/2020 15:10,10/11/2020 15:16,0,174.240.7.146,100,363,1,10/11/2020 15:16,R_1KkkNUIqHmjgDuH,,,,,29.7375946044921875,-95.52100372,qr,EN,1,1,1,1,1,Electronics Systems Engineering,1,1,,4,0,4,3,10,,,,,0.85,1,1,0.73,1,0.9,2,
5,10/11/2020 15:15,10/11/2020 15:17,0,24.136.51.226,100,117,1,10/11/2020 15:17,R_33fnSuMUaSJEGno,,,,,29.7747955322265625,-82.38459778,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,
5,10/11/2020 15:11,10/11/2020 15:17,0,50.30.210.22,100,343,1,10/11/2020 15:17,R_1NFERA3AuRTo4wW,,,,,30.6031951904296875,-96.31359863,qr,EN,1,2,1,1,1,Computer Engineering,1,5,0,5,0,7,2,8,,,,,1,1,0.6,1,1,1,2,
5,10/11/2020 15:10,10/11/2020 15:17,0,70.168.101.125,100,456,1,10/11/2020 15:17,R_3L1iLhzgee6GRzW,,,,,29.613800048828125,-82.38600159,qr,EN,1,2,1,2,1,Computer Science,3,4,3,7,0,3,3,10,,,,,0.33,0.91,0.66,0.43,0.92,0.36,2,
5,10/11/2020 15:10,10/11/2020 15:17,0,70.171.53.239,100,448,1,10/11/2020 15:17,R_1QzwI3Lz12Ek7L6,,,,,29.6475067138671875,-82.40399933,qr,EN,1,2,1,2,1,Computer science ,7,7,4,3,0,7,2,8,,,,,0.9,1,1,0.91,0.93,0.79,2,
5,10/11/2020 15:11,10/11/2020 15:17,0,107.77.216.181,100,360,1,10/11/2020 15:17,R_1dEK2fowVCEtMmZ,,,,,28.63439941,-81.62210083,qr,EN,1,2,1,4,3,Computer Science,7,4,3,3,0,7,2,7,,,,,1,0.68,1,1,1,1,2,
5,10/11/2020 15:11,10/11/2020 15:18,0,68.110.189.38,100,430,1,10/11/2020 15:18,R_2TX0McqEJnkhwnd,,,,,41.313995361328125,-81.67559814,qr,EN,1,2,3,4,3,Cyber security analysis ,7,2,1,4,2,2,2,8,,,,,0.29,0.28,0.51,0.33,0.44,0.67,2,
5,10/11/2020 15:11,10/11/2020 15:19,0,98.183.5.43,100,487,1,10/11/2020 15:19,R_25uoWzLHB5iSoat,,,,,30.4593963623046875,-87.20749664,qr,EN,1,2,1,3,3,Cybersecurity ,2,3,0,3,7,4,2,8,,,,,,,,,,,2,
5,10/11/2020 15:10,10/11/2020 15:20,0,132.177.238.73,100,582,1,10/11/2020 15:20,R_3fBqOIu0i1FRRyh,,,,,43.117401123046875,-70.91970062,qr,EN,1,2,1,1,1,Computer Science,2,,,7,0,1,1,5,,,,,1,0.93,1,1,0.1,1,2,
